timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.950269,-1.652573,1.112409,1,1,1,1,1
-360,3.958313,-1.640489,1.106947,1,1,1,1,1
-320,3.965934,-1.628477,1.102365,1,1,1,1,1
-280,3.968283,-1.617579,1.097791,1,1,1,1,1
-240,3.976717,-1.609327,1.092983,1,1,1,1,1
-200,3.985082,-1.599434,1.087026,1,1,1,1,1
-160,3.996285,-1.590551,1.081822,1,1,1,1,1
-120,4.007607,-1.580997,1.076157,1,1,1,1,1
-80,4.018742,-1.568835,1.070567,1,1,1,1,1
-40,4.030118,-1.555143,1.063057,1,1,1,1,1
0,4.040958,-1.536914,1.056215,1,1,1,1,1
