timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.927494,1.197191,0.294594,0,1,1,1,1
-360,1.928333,1.195892,0.293309,0,1,1,1,1
-320,1.929082,1.194734,0.291871,0,1,1,1,1
-280,1.930018,1.193773,0.289414,0,1,1,1,1
-240,1.931886,1.191335,0.287038,0,1,1,1,1
-200,1.921989,1.192705,0.288961,0,1,1,1,1
-160,1.901796,1.204612,0.286352,0,1,1,1,1
-120,1.86766,1.216633,0.28534,0,1,1,1,1
-80,1.826661,1.211144,0.298017,0,1,1,1,1
-40,1.824333,1.194609,0.292506,0,1,1,1,1
0,1.850305,1.177397,0.279827,0,1,1,1,1
