timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.231892,0.179315,0.250756,0,1,1,1,1
-360,1.227003,0.180615,0.236635,0,1,1,1,1
-320,1.23784,0.159837,0.228701,0,1,1,1,1
-280,1.250787,0.137572,0.221783,0,1,1,1,1
-240,1.261788,0.115276,0.212759,0,1,1,1,1
-200,1.273968,0.092678,0.205795,0,1,1,1,1
-160,1.28679,0.070277,0.199778,0,1,1,1,1
-120,1.300645,0.047844,0.195764,0,1,1,1,1
-80,1.319033,0.038406,0.192171,0,1,1,1,1
-40,1.338651,0.048488,0.192732,0,1,1,1,1
0,1.353752,0.056022,0.194982,0,1,1,1,1
