timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.130363,0.317329,0.028823,1,1,1,1,1
-360,1.169778,0.287383,0.024364,1,1,1,1,1
-320,1.208739,0.252809,0.021955,1,1,1,1,1
-280,1.25162,0.220906,0.015864,1,1,1,1,1
-240,1.296245,0.190639,0.016091,1,1,1,1,1
-200,1.33971,0.158712,0.016109,1,1,1,1,1
-160,1.382702,0.126414,0.015435,1,1,1,1,1
-120,1.427112,0.095848,0.015572,1,1,1,1,1
-80,1.474111,0.069443,0.016385,1,1,1,1,1
-40,1.522813,0.046411,0.015526,1,1,1,1,1
0,1.570053,0.020657,0.01261,1,1,1,1,1
